[DEBUG] - [2017/08/17 11:29:29.862]【IMCORE-本机QoS】【QoS发送方】=========== 消息发送质量保证线程已成功启动 | (QoS4SendDaemonRoot^startup:292)
[DEBUG] - [2017/08/17 13:35:39.001]【DEBUG_回调通知】正在调用回调方法：OnVerifyUserCallBack...(extra=null) | (ServerEventListenerImpl^onVerifyUserCallBack:55)
[DEBUG] - [2017/08/17 13:35:39.081]【@】当前在线用户共(1)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:35:39.083]【IM_回调通知OnUserLoginAction_CallBack】用户：1 上线了！ | (ServerEventListenerImpl^onUserLoginAction_CallBack:73)
[INFO] - [2017/08/17 13:35:39.091][IMCORE]>> 收到客户端{uid:1}/192.168.1.188:51301的ACK应答包发送请求. | (ServerCoreHandler^messageReceived:155)
[DEBUG] - [2017/08/17 13:35:39.092][IMCORE-本机QoS！]【QoS机制_S2C】收到接收者1回过来的指纹为5749bdbf-0a36-4be8-bf52-7bf6e16f12e6的应答包. | (LogicProcessor^processACK:146)
[DEBUG] - [2017/08/17 13:35:39.092]【DEBUG_QoS_S2C事件】收到对方已收到消息事件的通知，fp=5749bdbf-0a36-4be8-bf52-7bf6e16f12e6 | (MessageQoSEventS2CListnerImpl^messagesBeReceived:49)
[WARN] - [2017/08/17 13:35:39.095]【IMCORE-本机QoS】【QoS发送方】指纹为5749bdbf-0a36-4be8-bf52-7bf6e16f12e6的消息已成功从发送质量保证队列中移除(可能是收到接收方的应答也可能是达到了重传的次数上限)，重试次数=0 | (QoS4SendDaemonRoot^remove:393)
[INFO] - [2017/08/17 13:36:20.527][IMCORE]与{uid:null}/192.168.1.121:35301的会话建立(sessionCreated)了... | (ServerCoreHandler^sessionCreated:301)
[INFO] - [2017/08/17 13:36:20.529][IMCORE]与{uid:null}/192.168.1.121:35301的会话(sessionOpened)打开了... | (ServerCoreHandler^sessionOpened:314)
[INFO] - [2017/08/17 13:36:20.530][IMCORE]>> 客户端{uid:null}/192.168.1.121:35301发过来的登陆信息内容是：loginInfo=2|getToken=2 | (LogicProcessor^processLogin:206)
[DEBUG] - [2017/08/17 13:36:20.531]【DEBUG_回调通知】正在调用回调方法：OnVerifyUserCallBack...(extra=null) | (ServerEventListenerImpl^onVerifyUserCallBack:55)
[DEBUG] - [2017/08/17 13:36:20.534]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:20.535]【IM_回调通知OnUserLoginAction_CallBack】用户：2 上线了！ | (ServerEventListenerImpl^onUserLoginAction_CallBack:73)
[INFO] - [2017/08/17 13:36:20.660][IMCORE]>> 收到客户端{uid:2}/192.168.1.121:35301的ACK应答包发送请求. | (ServerCoreHandler^messageReceived:155)
[DEBUG] - [2017/08/17 13:36:20.661][IMCORE-本机QoS！]【QoS机制_S2C】收到接收者2回过来的指纹为4d3fe0ed-d4c9-4903-97ff-08cf2cf38fd3的应答包. | (LogicProcessor^processACK:146)
[DEBUG] - [2017/08/17 13:36:20.662]【DEBUG_QoS_S2C事件】收到对方已收到消息事件的通知，fp=4d3fe0ed-d4c9-4903-97ff-08cf2cf38fd3 | (MessageQoSEventS2CListnerImpl^messagesBeReceived:49)
[WARN] - [2017/08/17 13:36:20.663]【IMCORE-本机QoS】【QoS发送方】指纹为4d3fe0ed-d4c9-4903-97ff-08cf2cf38fd3的消息已成功从发送质量保证队列中移除(可能是收到接收方的应答也可能是达到了重传的次数上限)，重试次数=0 | (QoS4SendDaemonRoot^remove:393)
[INFO] - [2017/08/17 13:36:26.814][IMCORE]>> 收到客户端{uid:1}/192.168.1.188:51301的通用数据发送请求. | (ServerCoreHandler^messageReceived:169)
[DEBUG] - [2017/08/17 13:36:26.820]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:26.822]【DEBUG_回调通知】[typeu=-1]收到了客户端1发给客户端2的消息：str=1 | (ServerEventListenerImpl^onTransBuffer_C2C_CallBack:129)
[INFO] - [2017/08/17 13:36:26.842][IMCORE]>> 收到客户端{uid:2}/192.168.1.121:35301的ACK应答包发送请求. | (ServerCoreHandler^messageReceived:155)
[DEBUG] - [2017/08/17 13:36:26.843]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:26.848][IMCORE-本机QoS！]【QoS机制_C2C】2发给1的指纹为cc8931bd-3b5f-473a-8699-fae90657d01c的应答包已成功转发？true | (LogicProcessor^processACK:189)
[INFO] - [2017/08/17 13:36:32.376][IMCORE]>> 收到客户端{uid:1}/192.168.1.188:51301的通用数据发送请求. | (ServerCoreHandler^messageReceived:169)
[DEBUG] - [2017/08/17 13:36:32.377]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:32.378]【DEBUG_回调通知】[typeu=-1]收到了客户端1发给客户端2的消息：str=1 | (ServerEventListenerImpl^onTransBuffer_C2C_CallBack:129)
[INFO] - [2017/08/17 13:36:32.410][IMCORE]>> 收到客户端{uid:2}/192.168.1.121:35301的ACK应答包发送请求. | (ServerCoreHandler^messageReceived:155)
[DEBUG] - [2017/08/17 13:36:32.416]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:32.418][IMCORE-本机QoS！]【QoS机制_C2C】2发给1的指纹为da04cd83-0630-4913-9af1-9b092d1ba83b的应答包已成功转发？true | (LogicProcessor^processACK:189)
[INFO] - [2017/08/17 13:36:32.596][IMCORE]>> 收到客户端{uid:1}/192.168.1.188:51301的通用数据发送请求. | (ServerCoreHandler^messageReceived:169)
[DEBUG] - [2017/08/17 13:36:32.599]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:32.601]【DEBUG_回调通知】[typeu=-1]收到了客户端1发给客户端2的消息：str=1 | (ServerEventListenerImpl^onTransBuffer_C2C_CallBack:129)
[INFO] - [2017/08/17 13:36:32.627][IMCORE]>> 收到客户端{uid:2}/192.168.1.121:35301的ACK应答包发送请求. | (ServerCoreHandler^messageReceived:155)
[DEBUG] - [2017/08/17 13:36:32.629]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:32.635][IMCORE-本机QoS！]【QoS机制_C2C】2发给1的指纹为322764c3-0e8d-4bf4-bff6-5a7084f50fce的应答包已成功转发？true | (LogicProcessor^processACK:189)
[INFO] - [2017/08/17 13:36:32.785][IMCORE]>> 收到客户端{uid:1}/192.168.1.188:51301的通用数据发送请求. | (ServerCoreHandler^messageReceived:169)
[DEBUG] - [2017/08/17 13:36:32.787]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:32.791]【DEBUG_回调通知】[typeu=-1]收到了客户端1发给客户端2的消息：str=1 | (ServerEventListenerImpl^onTransBuffer_C2C_CallBack:129)
[INFO] - [2017/08/17 13:36:32.803][IMCORE]>> 收到客户端{uid:2}/192.168.1.121:35301的ACK应答包发送请求. | (ServerCoreHandler^messageReceived:155)
[DEBUG] - [2017/08/17 13:36:32.805]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:32.806][IMCORE-本机QoS！]【QoS机制_C2C】2发给1的指纹为f065b5ab-47fa-45a2-acab-0303d8f83573的应答包已成功转发？true | (LogicProcessor^processACK:189)
[INFO] - [2017/08/17 13:36:32.963][IMCORE]>> 收到客户端{uid:1}/192.168.1.188:51301的通用数据发送请求. | (ServerCoreHandler^messageReceived:169)
[DEBUG] - [2017/08/17 13:36:32.965]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:32.967]【DEBUG_回调通知】[typeu=-1]收到了客户端1发给客户端2的消息：str=1 | (ServerEventListenerImpl^onTransBuffer_C2C_CallBack:129)
[INFO] - [2017/08/17 13:36:32.985][IMCORE]>> 收到客户端{uid:2}/192.168.1.121:35301的ACK应答包发送请求. | (ServerCoreHandler^messageReceived:155)
[DEBUG] - [2017/08/17 13:36:32.986]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:32.987][IMCORE-本机QoS！]【QoS机制_C2C】2发给1的指纹为af299717-1612-40b3-b146-39142e2ef895的应答包已成功转发？true | (LogicProcessor^processACK:189)
[INFO] - [2017/08/17 13:36:33.146][IMCORE]>> 收到客户端{uid:1}/192.168.1.188:51301的通用数据发送请求. | (ServerCoreHandler^messageReceived:169)
[DEBUG] - [2017/08/17 13:36:33.147]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:33.148]【DEBUG_回调通知】[typeu=-1]收到了客户端1发给客户端2的消息：str=1 | (ServerEventListenerImpl^onTransBuffer_C2C_CallBack:129)
[INFO] - [2017/08/17 13:36:33.219][IMCORE]>> 收到客户端{uid:2}/192.168.1.121:35301的ACK应答包发送请求. | (ServerCoreHandler^messageReceived:155)
[DEBUG] - [2017/08/17 13:36:33.220]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:33.220][IMCORE-本机QoS！]【QoS机制_C2C】2发给1的指纹为6d5756ef-aa28-4fa0-9960-d1fd4d696d68的应答包已成功转发？true | (LogicProcessor^processACK:189)
[INFO] - [2017/08/17 13:36:33.380][IMCORE]>> 收到客户端{uid:1}/192.168.1.188:51301的通用数据发送请求. | (ServerCoreHandler^messageReceived:169)
[DEBUG] - [2017/08/17 13:36:33.408]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:33.410]【DEBUG_回调通知】[typeu=-1]收到了客户端1发给客户端2的消息：str=1 | (ServerEventListenerImpl^onTransBuffer_C2C_CallBack:129)
[INFO] - [2017/08/17 13:36:33.435][IMCORE]>> 收到客户端{uid:2}/192.168.1.121:35301的ACK应答包发送请求. | (ServerCoreHandler^messageReceived:155)
[DEBUG] - [2017/08/17 13:36:33.435]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:33.436][IMCORE-本机QoS！]【QoS机制_C2C】2发给1的指纹为ee50526f-2f2b-4b83-a0b0-35a5faeb422c的应答包已成功转发？true | (LogicProcessor^processACK:189)
[INFO] - [2017/08/17 13:36:33.534][IMCORE]>> 收到客户端{uid:1}/192.168.1.188:51301的通用数据发送请求. | (ServerCoreHandler^messageReceived:169)
[DEBUG] - [2017/08/17 13:36:33.569]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:33.579]【DEBUG_回调通知】[typeu=-1]收到了客户端1发给客户端2的消息：str=1 | (ServerEventListenerImpl^onTransBuffer_C2C_CallBack:129)
[INFO] - [2017/08/17 13:36:33.609][IMCORE]>> 收到客户端{uid:2}/192.168.1.121:35301的ACK应答包发送请求. | (ServerCoreHandler^messageReceived:155)
[DEBUG] - [2017/08/17 13:36:33.610]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:33.651][IMCORE-本机QoS！]【QoS机制_C2C】2发给1的指纹为878ebed9-9009-44e2-9a87-e1ee301b4029的应答包已成功转发？true | (LogicProcessor^processACK:189)
[INFO] - [2017/08/17 13:36:33.700][IMCORE]>> 收到客户端{uid:1}/192.168.1.188:51301的通用数据发送请求. | (ServerCoreHandler^messageReceived:169)
[DEBUG] - [2017/08/17 13:36:33.701]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:33.703]【DEBUG_回调通知】[typeu=-1]收到了客户端1发给客户端2的消息：str=1 | (ServerEventListenerImpl^onTransBuffer_C2C_CallBack:129)
[INFO] - [2017/08/17 13:36:33.721][IMCORE]>> 收到客户端{uid:2}/192.168.1.121:35301的ACK应答包发送请求. | (ServerCoreHandler^messageReceived:155)
[DEBUG] - [2017/08/17 13:36:33.724]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:33.728][IMCORE-本机QoS！]【QoS机制_C2C】2发给1的指纹为6a1e3132-8a96-4a1f-9162-57de9067c5a8的应答包已成功转发？true | (LogicProcessor^processACK:189)
[INFO] - [2017/08/17 13:36:33.856][IMCORE]>> 收到客户端{uid:1}/192.168.1.188:51301的通用数据发送请求. | (ServerCoreHandler^messageReceived:169)
[DEBUG] - [2017/08/17 13:36:33.857]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:33.862]【DEBUG_回调通知】[typeu=-1]收到了客户端1发给客户端2的消息：str=1 | (ServerEventListenerImpl^onTransBuffer_C2C_CallBack:129)
[INFO] - [2017/08/17 13:36:33.881][IMCORE]>> 收到客户端{uid:2}/192.168.1.121:35301的ACK应答包发送请求. | (ServerCoreHandler^messageReceived:155)
[DEBUG] - [2017/08/17 13:36:33.882]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:33.884][IMCORE-本机QoS！]【QoS机制_C2C】2发给1的指纹为d9ad0376-f72a-4153-ac81-1018e9deac3f的应答包已成功转发？true | (LogicProcessor^processACK:189)
[INFO] - [2017/08/17 13:36:34.043][IMCORE]>> 收到客户端{uid:1}/192.168.1.188:51301的通用数据发送请求. | (ServerCoreHandler^messageReceived:169)
[DEBUG] - [2017/08/17 13:36:34.044]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:34.046]【DEBUG_回调通知】[typeu=-1]收到了客户端1发给客户端2的消息：str=1 | (ServerEventListenerImpl^onTransBuffer_C2C_CallBack:129)
[INFO] - [2017/08/17 13:36:34.121][IMCORE]>> 收到客户端{uid:2}/192.168.1.121:35301的ACK应答包发送请求. | (ServerCoreHandler^messageReceived:155)
[DEBUG] - [2017/08/17 13:36:34.121]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:34.123][IMCORE-本机QoS！]【QoS机制_C2C】2发给1的指纹为b58c0c02-2f5c-4481-a94d-b5f238a7c12c的应答包已成功转发？true | (LogicProcessor^processACK:189)
[INFO] - [2017/08/17 13:36:34.233][IMCORE]>> 收到客户端{uid:1}/192.168.1.188:51301的通用数据发送请求. | (ServerCoreHandler^messageReceived:169)
[DEBUG] - [2017/08/17 13:36:34.233]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:34.234]【DEBUG_回调通知】[typeu=-1]收到了客户端1发给客户端2的消息：str=1 | (ServerEventListenerImpl^onTransBuffer_C2C_CallBack:129)
[INFO] - [2017/08/17 13:36:34.335][IMCORE]>> 收到客户端{uid:2}/192.168.1.121:35301的ACK应答包发送请求. | (ServerCoreHandler^messageReceived:155)
[DEBUG] - [2017/08/17 13:36:34.335]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:34.344][IMCORE-本机QoS！]【QoS机制_C2C】2发给1的指纹为3be926e7-bd58-40b0-a944-1e6a1a7fd480的应答包已成功转发？true | (LogicProcessor^processACK:189)
[INFO] - [2017/08/17 13:36:34.440][IMCORE]>> 收到客户端{uid:1}/192.168.1.188:51301的通用数据发送请求. | (ServerCoreHandler^messageReceived:169)
[DEBUG] - [2017/08/17 13:36:34.453]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:34.454]【DEBUG_回调通知】[typeu=-1]收到了客户端1发给客户端2的消息：str=1 | (ServerEventListenerImpl^onTransBuffer_C2C_CallBack:129)
[INFO] - [2017/08/17 13:36:34.530][IMCORE]>> 收到客户端{uid:2}/192.168.1.121:35301的ACK应答包发送请求. | (ServerCoreHandler^messageReceived:155)
[DEBUG] - [2017/08/17 13:36:34.531]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:34.532][IMCORE-本机QoS！]【QoS机制_C2C】2发给1的指纹为fd0ead7b-fa62-40db-a6c2-27c777de3948的应答包已成功转发？true | (LogicProcessor^processACK:189)
[INFO] - [2017/08/17 13:36:34.601][IMCORE]>> 收到客户端{uid:1}/192.168.1.188:51301的通用数据发送请求. | (ServerCoreHandler^messageReceived:169)
[DEBUG] - [2017/08/17 13:36:34.603]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:34.606]【DEBUG_回调通知】[typeu=-1]收到了客户端1发给客户端2的消息：str=1 | (ServerEventListenerImpl^onTransBuffer_C2C_CallBack:129)
[INFO] - [2017/08/17 13:36:34.625][IMCORE]>> 收到客户端{uid:2}/192.168.1.121:35301的ACK应答包发送请求. | (ServerCoreHandler^messageReceived:155)
[DEBUG] - [2017/08/17 13:36:34.626]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:34.628][IMCORE-本机QoS！]【QoS机制_C2C】2发给1的指纹为09fc6ec1-12b2-4a81-865f-eb445f8865c0的应答包已成功转发？true | (LogicProcessor^processACK:189)
[INFO] - [2017/08/17 13:36:34.776][IMCORE]>> 收到客户端{uid:1}/192.168.1.188:51301的通用数据发送请求. | (ServerCoreHandler^messageReceived:169)
[DEBUG] - [2017/08/17 13:36:34.782]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:34.785]【DEBUG_回调通知】[typeu=-1]收到了客户端1发给客户端2的消息：str=1 | (ServerEventListenerImpl^onTransBuffer_C2C_CallBack:129)
[INFO] - [2017/08/17 13:36:34.796][IMCORE]>> 收到客户端{uid:2}/192.168.1.121:35301的ACK应答包发送请求. | (ServerCoreHandler^messageReceived:155)
[DEBUG] - [2017/08/17 13:36:34.798]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:34.802][IMCORE-本机QoS！]【QoS机制_C2C】2发给1的指纹为5261bde7-0aa7-4019-9a3f-dfaa04a4b021的应答包已成功转发？true | (LogicProcessor^processACK:189)
[INFO] - [2017/08/17 13:36:34.944][IMCORE]>> 收到客户端{uid:1}/192.168.1.188:51301的通用数据发送请求. | (ServerCoreHandler^messageReceived:169)
[DEBUG] - [2017/08/17 13:36:34.945]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:34.949]【DEBUG_回调通知】[typeu=-1]收到了客户端1发给客户端2的消息：str=1 | (ServerEventListenerImpl^onTransBuffer_C2C_CallBack:129)
[INFO] - [2017/08/17 13:36:34.965][IMCORE]>> 收到客户端{uid:2}/192.168.1.121:35301的ACK应答包发送请求. | (ServerCoreHandler^messageReceived:155)
[DEBUG] - [2017/08/17 13:36:34.967]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:34.968][IMCORE-本机QoS！]【QoS机制_C2C】2发给1的指纹为668bac45-6669-406b-8fb3-859c2a7dd159的应答包已成功转发？true | (LogicProcessor^processACK:189)
[INFO] - [2017/08/17 13:36:35.128][IMCORE]>> 收到客户端{uid:1}/192.168.1.188:51301的通用数据发送请求. | (ServerCoreHandler^messageReceived:169)
[DEBUG] - [2017/08/17 13:36:35.128]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:35.140]【DEBUG_回调通知】[typeu=-1]收到了客户端1发给客户端2的消息：str=1 | (ServerEventListenerImpl^onTransBuffer_C2C_CallBack:129)
[INFO] - [2017/08/17 13:36:35.158][IMCORE]>> 收到客户端{uid:2}/192.168.1.121:35301的ACK应答包发送请求. | (ServerCoreHandler^messageReceived:155)
[DEBUG] - [2017/08/17 13:36:35.158]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:35.159][IMCORE-本机QoS！]【QoS机制_C2C】2发给1的指纹为0a73765e-80d2-49c0-a6b6-7990bb8b9832的应答包已成功转发？true | (LogicProcessor^processACK:189)
[INFO] - [2017/08/17 13:36:35.321][IMCORE]>> 收到客户端{uid:1}/192.168.1.188:51301的通用数据发送请求. | (ServerCoreHandler^messageReceived:169)
[DEBUG] - [2017/08/17 13:36:35.337]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:35.337]【DEBUG_回调通知】[typeu=-1]收到了客户端1发给客户端2的消息：str=1 | (ServerEventListenerImpl^onTransBuffer_C2C_CallBack:129)
[INFO] - [2017/08/17 13:36:35.356][IMCORE]>> 收到客户端{uid:2}/192.168.1.121:35301的ACK应答包发送请求. | (ServerCoreHandler^messageReceived:155)
[DEBUG] - [2017/08/17 13:36:35.380]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
[DEBUG] - [2017/08/17 13:36:35.384][IMCORE-本机QoS！]【QoS机制_C2C】2发给1的指纹为dc20015a-800b-4566-8e83-b29d2333e58b的应答包已成功转发？true | (LogicProcessor^processACK:189)
[INFO] - [2017/08/17 13:36:35.515][IMCORE]>> 收到客户端{uid:1}/192.168.1.188:51301的通用数据发送请求. | (ServerCoreHandler^messageReceived:169)
[DEBUG] - [2017/08/17 13:36:35.521]【@】当前在线用户共(2)人-------------------> | (OnlineProcessor^__printOnline:98)
